iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
13|11|216.239.49.181|107.859 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
13|12|108.170.235.157|120.480 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
13|13|216.239.49.197|20.243 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
13|14|216.239.48.31|34.565 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
13|15|216.239.40.138|26.993 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
13|16|216.239.40.118|27.102 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
13|17|64.233.174.133|49.001 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
13|18|209.85.253.1|34.536 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
13|19|64.233.185.138|146.656 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
14|1|192.168.0.1|5.296 ms|||||||
14|2|174.111.102.224|44.082 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
14|3|24.25.62.48|14.901 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
14|4|24.93.64.184|21.876 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
14|5|24.93.67.200|17.398 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
14|6|66.109.6.80|29.743 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
14|7|216.50.79.33|16.891 ms|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications
14|8|216.50.79.66|19.791 ms|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications
14|9|216.58.215.46|20.613 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
14|10|216.239.62.139|23.655 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
14|11|216.239.49.181|23.301 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
14|12|108.170.235.157|41.926 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
